iter	MultiClass
0	1.096255368
1	1.094004424
2	1.091740732
3	1.089542561
4	1.087396905
5	1.085336015
6	1.083268614
7	1.081244351
8	1.079309616
9	1.077389117
10	1.07562169
11	1.073797962
12	1.072009876
13	1.070258558
14	1.068550495
15	1.066867529
16	1.065227304
17	1.063629244
18	1.062045402
19	1.060520625
20	1.059006432
21	1.057556779
22	1.056090295
23	1.054638706
24	1.053194963
25	1.051828632
26	1.05043811
27	1.049128867
28	1.047775722
29	1.046465513
30	1.045158179
31	1.043889561
32	1.042640374
33	1.041390955
34	1.040232283
35	1.039072088
36	1.037933134
37	1.036807707
38	1.035701403
39	1.034609588
40	1.033534085
41	1.032474302
42	1.031472799
43	1.030462906
44	1.029456783
45	1.028484094
46	1.027564029
47	1.026704487
48	1.02580206
49	1.024932483
50	1.024020348
51	1.023139181
52	1.022306394
53	1.021430608
54	1.020596762
55	1.019754498
56	1.018936274
57	1.018154332
58	1.017381825
59	1.016634134
60	1.015885163
61	1.015125083
62	1.014416906
63	1.013720762
64	1.013013562
65	1.012348379
66	1.011671937
67	1.011009927
68	1.010367456
69	1.009807624
70	1.009185028
71	1.008547802
72	1.007947156
73	1.007371047
74	1.006793204
75	1.006233772
76	1.005671152
77	1.005116891
78	1.004556633
79	1.00403174
80	1.003497919
81	1.002987094
82	1.002473331
83	1.002004001
84	1.001532409
85	1.001041209
86	1.000576321
87	1.000102554
88	0.9996304181
89	0.9991649755
90	0.9986896435
91	0.9982388785
92	0.9977990752
93	0.9973683794
94	0.9969640895
95	0.9965381661
96	0.996185742
97	0.9957746957
98	0.9953714887
99	0.9949908288
100	0.9946292
101	0.994235501
102	0.9938641731
103	0.9935127658
104	0.9931558427
105	0.9928077426
106	0.9924604218
107	0.9921245691
108	0.9917845766
109	0.9914725298
110	0.9911359702
111	0.9908095106
112	0.9904986118
113	0.9901692993
114	0.989867393
115	0.9895430473
116	0.9892467228
117	0.9889610851
118	0.9886545047
119	0.9883596991
120	0.988065364
121	0.9877890968
122	0.9874896571
123	0.9872243669
124	0.9869445531
125	0.986691728
126	0.9864389071
127	0.9861861925
128	0.9859616548
129	0.9856932029
130	0.9854397928
131	0.9852005573
132	0.984921479
133	0.9846781362
134	0.9844594288
135	0.9842132534
136	0.9839867821
137	0.9837295646
138	0.9835039759
139	0.9832940032
140	0.9830678111
141	0.9828417152
142	0.982614455
143	0.9824197363
144	0.9822099687
145	0.9819908629
146	0.9817799649
147	0.9815841826
148	0.9813963983
149	0.9812070727
150	0.9810363446
151	0.9808513949
152	0.9806758619
153	0.980495872
154	0.9803300201
155	0.9801691654
156	0.9800016452
157	0.9798388403
158	0.9796800334
159	0.9795054777
160	0.9793283704
161	0.9791453728
162	0.9789706844
163	0.9788210345
164	0.9786689714
165	0.978489666
166	0.9784013476
167	0.9782584246
168	0.9781224694
169	0.9779768534
170	0.9778473123
171	0.9777131165
172	0.9775634201
173	0.9774310246
174	0.9773001375
175	0.9771681394
176	0.9770301463
177	0.9768779299
178	0.9767448903
179	0.9766199329
180	0.9765106289
181	0.9763424911
182	0.976225064
183	0.9760911245
184	0.9759481883
185	0.9758327538
186	0.9757078014
187	0.9755891209
188	0.9754716566
189	0.9753504401
190	0.9752323824
191	0.9751124786
192	0.9750078672
193	0.9749069291
194	0.9747895347
195	0.9746823398
196	0.9745434529
197	0.9744673987
198	0.9743773778
199	0.9742829451
200	0.9741890024
201	0.9740789881
202	0.9739791736
203	0.9738479751
204	0.9737549576
205	0.9736653679
206	0.9735679609
207	0.9734810007
208	0.9733787959
209	0.973288448
210	0.973203751
211	0.973076005
212	0.9729866945
213	0.9729091311
214	0.9728044621
215	0.9727174457
216	0.9726395652
217	0.9725499572
218	0.9724790313
219	0.9723958403
220	0.9723143076
221	0.9722226888
222	0.9721553383
223	0.9720639993
224	0.9719730056
225	0.9718756479
226	0.9717965782
227	0.971701997
228	0.971645258
229	0.9715750282
230	0.9714988451
231	0.971429668
232	0.9713578477
233	0.9712702644
234	0.9711956663
235	0.9711308157
236	0.9710491696
237	0.9709829432
238	0.9709202558
239	0.9708277611
240	0.9707605306
241	0.9706962901
242	0.9706169339
243	0.9705576605
244	0.9705387673
245	0.9704752095
246	0.9703828537
247	0.9703073367
248	0.9702289688
249	0.9701717626
250	0.97008528
251	0.9700120065
252	0.9699506406
253	0.9698863765
254	0.9698290372
255	0.9697896681
256	0.9697347057
257	0.9696575165
258	0.9696004907
259	0.9695331413
260	0.9694866961
261	0.9694050349
262	0.9693480577
263	0.9692801735
264	0.9692171484
265	0.9691412436
266	0.9691054369
267	0.9690447525
268	0.9690048969
269	0.9689471379
270	0.9688691796
271	0.9688183118
272	0.9687548444
273	0.9686915846
274	0.968647479
275	0.9686020689
276	0.9685585374
277	0.968500092
278	0.9684321117
279	0.9683936272
280	0.9683277569
281	0.9682589873
282	0.9682043112
283	0.9681295088
284	0.9680825289
285	0.9680317207
286	0.9679655345
287	0.9679090237
288	0.9678538471
289	0.9678060635
290	0.9677432922
291	0.967696295
292	0.9676516965
293	0.9675596533
294	0.9675017545
295	0.9674594895
296	0.9673901085
297	0.9673641183
298	0.967320773
299	0.9672893236
