season,division,matchday,date,time,home_team,away_team,score
1928-1929,1,1,2/10/29,NULL,Arenas Club,Athletic Madrid,2:3
1928-1929,1,1,2/10/29,NULL,Espanyol,Real Unión,3:2
1928-1929,1,1,2/10/29,NULL,Real Madrid,Catalunya,5:0
1928-1929,1,1,2/10/29,NULL,Donostia,Athletic,1:1
1928-1929,1,1,2/12/29,NULL,Racing,Barcelona,0:2
1928-1929,1,2,2/17/29,NULL,Barcelona,Real Madrid,1:2
1928-1929,1,2,2/17/29,NULL,Athletic,Espanyol,9:0
1928-1929,1,2,2/17/29,NULL,Athletic Madrid,Donostia,0:3
1928-1929,1,2,2/17/29,NULL,Real Unión,Racing,3:1
1928-1929,1,2,2/17/29,NULL,Catalunya,Arenas Club,5:2
1928-1929,1,3,2/24/29,NULL,Donostia,Barcelona,3:0
1928-1929,1,3,2/24/29,NULL,Espanyol,Catalunya,3:1
1928-1929,1,3,2/24/29,NULL,Arenas Club,Real Unión,1:1
1928-1929,1,3,2/24/29,NULL,Racing,Athletic,0:4
1928-1929,1,3,2/24/29,NULL,Real Madrid,Athletic Madrid,2:1
1928-1929,1,4,3/3/29,NULL,Real Unión,Athletic Madrid,1:2
1928-1929,1,4,3/3/29,NULL,Real Madrid,Donostia,2:1
1928-1929,1,4,3/3/29,NULL,Espanyol,Racing,3:0
1928-1929,1,4,3/3/29,NULL,Barcelona,Arenas Club,2:2
1928-1929,1,4,3/3/29,NULL,Athletic,Catalunya,2:0
1928-1929,1,5,3/10/29,NULL,Catalunya,Real Unión,3:3
1928-1929,1,5,3/10/29,NULL,Athletic Madrid,Barcelona,4:1
1928-1929,1,5,3/10/29,NULL,Racing,Real Madrid,1:3
1928-1929,1,5,3/10/29,NULL,Donostia,Espanyol,1:1
1928-1929,1,5,3/10/29,NULL,Arenas Club,Athletic,1:0
1928-1929,1,6,3/24/29,NULL,Espanyol,Real Madrid,4:0
1928-1929,1,6,3/24/29,NULL,Real Unión,Athletic,6:3
1928-1929,1,6,3/24/29,NULL,Arenas Club,Donostia,3:0
1928-1929,1,6,3/24/29,NULL,Athletic Madrid,Racing,4:0
1928-1929,1,6,3/24/29,NULL,Barcelona,Catalunya,5:2
1928-1929,1,7,3/31/29,NULL,Donostia,Racing,8:1
1928-1929,1,7,3/31/29,NULL,Espanyol,Arenas Club,1:2
1928-1929,1,7,3/31/29,NULL,Catalunya,Athletic Madrid,4:1
1928-1929,1,7,3/31/29,NULL,Athletic,Barcelona,5:1
1928-1929,1,7,3/31/29,NULL,Real Madrid,Real Unión,2:0
1928-1929,1,8,4/7/29,NULL,Arenas Club,Real Madrid,3:2
1928-1929,1,8,4/7/29,NULL,Athletic Madrid,Athletic,2:3
1928-1929,1,8,4/7/29,NULL,Barcelona,Espanyol,1:0
1928-1929,1,8,4/7/29,NULL,Real Unión,Donostia,2:3
1928-1929,1,8,4/7/29,NULL,Racing,Catalunya,3:2
1928-1929,1,9,4/21/29,NULL,Arenas Club,Racing,2:1
1928-1929,1,9,4/21/29,NULL,Real Unión,Barcelona,1:2
1928-1929,1,9,4/21/29,NULL,Real Madrid,Athletic,5:1
1928-1929,1,9,4/21/29,NULL,Espanyol,Athletic Madrid,3:2
1928-1929,1,9,4/21/29,NULL,Catalunya,Donostia,4:3
1928-1929,1,10,4/28/29,NULL,Real Unión,Espanyol,4:3
1928-1929,1,10,4/28/29,NULL,Athletic,Donostia,4:2
1928-1929,1,10,4/28/29,NULL,Barcelona,Racing,5:1
1928-1929,1,10,4/28/29,NULL,Athletic Madrid,Arenas Club,1:2
